"Сезон коллекции";"Название коллекции";"Тип обуви";"Название модели";"Уникальный код модели";Пол;"Возможные цвета";"Линейка размеров";"Вид сезона";"Материал изготовления";"Страна изготовления";"Текущая цена";"Первая цена";url
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/classic/?art_id=247603&color=02021
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/classic/?art_id=247603&color=01001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/classic/?art_id=354403&color=01001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/classic/?art_id=354403&color=01459
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/classic/?art_id=354713&color=02001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/classic/?art_id=354713&color=02024
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/classic/?art_id=351523&color=01118
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/classic/?art_id=356473&color=01001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/classic/?art_id=351523&color=01001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/classic/?art_id=332123&color=01001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/classic/?art_id=332123&color=01161
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/classic/?art_id=358803&color=01001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/classic/?art_id=357623&color=01001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/classic/?art_id=242623&color=01060
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/classic/?art_id=242623&color=01001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/classic/?art_id=351113&color=01001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=210273&color=01001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=210273&color=01163
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=213613&color=01163
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=213683&color=04001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=213723&color=51707
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=230203&color=01001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=230203&color=01163
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=230703&color=51052
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=230703&color=58337
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=230703&color=58338
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=230783&color=01001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=230783&color=01208
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=230783&color=01163
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=260013&color=02206
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=260013&color=01001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=260013&color=01400
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=260013&color=52457
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=260023&color=02001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=260023&color=58566
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=260033&color=01001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=260033&color=01400
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=260033&color=01459
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=260043&color=01459
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=260043&color=02001
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=260503&color=01459
Array;Array;Array;Array;Array;Array;Array;Array;Array;Кожа;Россия;Array;Array;http://www.ecco-shoes.ru/women/shoes/casual/?art_id=260503&color=53960
